suggest	name	kind	privacy	file	line
MOVE	sandwiched_trace_pos	theorem	private	QuantumInfo/Entropy/Relative.lean	33
MOVE	weighted_jensen_rpow	lemma	public	QuantumInfo/Entropy/Relative.lean	51
MOVE	doubly_stochastic_holder	lemma	public	QuantumInfo/Entropy/Relative.lean	62
MOVE	HermitianMat.inner_le_trace_rpow_mul	lemma	public	QuantumInfo/Entropy/Relative.lean	104
MOVE	MState.rpow_le_one'	lemma	public	QuantumInfo/Entropy/Relative.lean	129
MOVE	HermitianMat.eigenvalues_le_one_of_le_one	lemma	public	QuantumInfo/Entropy/Relative.lean	144
MOVE	HermitianMat.trace_rpow_le_trace_of_le_one	lemma	public	QuantumInfo/Entropy/Relative.lean	174
MOVE	trace_conj_rpow_eq_inner	lemma	private	QuantumInfo/Entropy/Relative.lean	191
MOVE	inner_rpow_le_one	lemma	private	QuantumInfo/Entropy/Relative.lean	221
MOVE	sandwiched_trace_of_lt_1	theorem	private	QuantumInfo/Entropy/Relative.lean	232
MOVE	HermitianMat.rpow_neg_mul_rpow_eq_supportProj	lemma	public	QuantumInfo/Entropy/Relative.lean	259
MOVE	HermitianMat.supportProj_mul_self	lemma	public	QuantumInfo/Entropy/Relative.lean	274
MOVE	HermitianMat.inner_supportProj_self	lemma	public	QuantumInfo/Entropy/Relative.lean	302
MOVE	HermitianMat.mul_supportProj_of_ker_le	lemma	public	QuantumInfo/Entropy/Relative.lean	313
MOVE	HermitianMat.inner_supportProj_of_ker_le	lemma	public	QuantumInfo/Entropy/Relative.lean	362
MOVE	supportProj_inner_density	lemma	public	QuantumInfo/Entropy/Relative.lean	367
MOVE	sandwiched_inner_eq_one	lemma	private	QuantumInfo/Entropy/Relative.lean	375
MOVE	sandwiched_trace_of_gt_1	theorem	private	QuantumInfo/Entropy/Relative.lean	391
MOVE	sandwichedRelRentropy_nonneg_α_lt_1	theorem	private	QuantumInfo/Entropy/Relative.lean	427
MOVE	sandwichedRelRentropy_nonneg_α_gt_1	theorem	private	QuantumInfo/Entropy/Relative.lean	435
MOVE	sandwichedRelRentropy.trace_at_one	lemma	private	QuantumInfo/Entropy/Relative.lean	441
MOVE	hasDerivAt_trace_rpow_at_one	lemma	private	QuantumInfo/Entropy/Relative.lean	448
MOVE	trace_conj_eq_inner_rpow	lemma	private	QuantumInfo/Entropy/Relative.lean	501
MOVE	eigenWeight	def	private	QuantumInfo/Entropy/Relative.lean	524
MOVE	inner_cfc_eq_sum_eigenWeight	lemma	private	QuantumInfo/Entropy/Relative.lean	527
MOVE	eigenWeight_nonneg	lemma	private	QuantumInfo/Entropy/Relative.lean	546
MOVE	eigenWeight_zero_of_eigenvalue_zero	lemma	private	QuantumInfo/Entropy/Relative.lean	563
MOVE	hasDerivAt_inner_rpow_at_zero	lemma	private	QuantumInfo/Entropy/Relative.lean	583
MOVE	hasDerivAt_trace_conj_at_one	lemma	private	QuantumInfo/Entropy/Relative.lean	609
MOVE	scalar_rpow_cross_term	lemma	private	QuantumInfo/Entropy/Relative.lean	636
MOVE	hasDerivAt_trace_rpow_sub_trace	lemma	private	QuantumInfo/Entropy/Relative.lean	648
MOVE	B_of	abbrev	private	QuantumInfo/Entropy/Relative.lean	653
MOVE	B_of_one	lemma	private	QuantumInfo/Entropy/Relative.lean	657
MOVE	B_of_nonneg	lemma	private	QuantumInfo/Entropy/Relative.lean	661
MOVE	trace_rpow_sub_trace_at_one	lemma	private	QuantumInfo/Entropy/Relative.lean	665
MOVE	cross_term_at_one	lemma	private	QuantumInfo/Entropy/Relative.lean	670
MOVE	scalar_rpow_cross_term_of_continuous	lemma	private	QuantumInfo/Entropy/Relative.lean	681
MOVE	scalar_rpow_cross_term_of_continuous_zero	lemma	private	QuantumInfo/Entropy/Relative.lean	719
MOVE	conj_supportProj_eq_of_ker_le	lemma	private	QuantumInfo/Entropy/Relative.lean	780
